# file	translator	distance-meassure	synset-tolerance	relation-tolerance	similarity-value	computation-time
sample09.txt	google	wu-palmer	0	0	0.517241	0.624
sample09.txt	yandex	wu-palmer	0	0	1	0.629
sample09.txt	yandex	shortest_path	0	0	1	1.276
sample09.txt	google	leacock-chodorow	0	0	0.862069	2.232
sample09.txt	yandex	leacock-chodorow	0	0	1	1.997
sample09.txt	yandex	resnik	0	0	1	2.17
sample09.txt	yandex	lin	0	0	1	2.639
sample09.txt	yandex	jiang-conrath	0	0	1	3.15
sample09.txt	google	lin	0	0	0.862069	3.175
sample09.txt	google	jiang-conrath	0	0	0.862069	3.833
sample09.txt	google	shortest_path	0	0	0.862069	4.169
sample09.txt	google	resnik	0	0	0.862069	4.521
sample09.txt	yandex	sussna	0	0	1	12.102
sample09.txt	google	sussna	0	0	0.862069	14.823
sample09.txt	google	sussna	0	0.1	0.862069	0.034
sample09.txt	google	leacock-chodorow	0	0.1	0.862069	0.049
sample09.txt	yandex	sussna	0	0.1	1	0.071
sample09.txt	yandex	leacock-chodorow	0	0.1	1	0.071
sample09.txt	yandex	jiang-conrath	0	0.1	1	1.105
sample09.txt	yandex	lin	0	0.1	1	1.211
sample09.txt	google	jiang-conrath	0	0.1	0.862069	1.47
sample09.txt	yandex	shortest_path	0	0.1	1	1.704
sample09.txt	yandex	resnik	0	0.1	1	1.684
sample09.txt	google	lin	0	0.1	0.862069	2.207
sample09.txt	google	resnik	0	0.1	0.862069	2.362
sample09.txt	google	shortest_path	0	0.1	0.862069	2.72
